abreviation;SourceAbreviation
hltv;Hltv
hltv;hltv
hltv;HLTV
ecouvi;Ecouvi
ecouvi;ECOUVI.
ecouvi;ECOUVI
ecouvi;ecouvi
hbs;HBS
hbs;Hbs
hbs;hbs
hbs;HBs
erlichia;Erlichia/
erlichia;ERLICHIA
erlichia;.ERLICHIA
erlichia;erlichia
erlichia;Erlichia
shigatox;Shigatox
shigatox;SHIGATOX.
shigatox;SHIGATOX
shigatox;shigatox
cytbact;CYTBACT.
cytbact;CYTBACT
cytbact;Cytbact
cytbact;cytbact
ponction;.PONCTION
ponction;PONCTION
ponction;Ponction
ponction;ponction
hbv;HBV
hbv;Hbv
hbv;hbv
cyt;Cyt.
cyt;CYT.
cyt;CYT
cyt;Cyt
cyt;cyt
polymer;polymer
polymer;POLYMER
polymer;Polymer.
polymer;Polymer
aut;AUT
aut;Aut
aut;aut
aut;.AUT
explorat;EXPLORAT.
explorat;explorat
explorat;Explorat
explorat;EXPLORAT
capillaire;Capillaire
capillaire;capillaire
capillaire;.capillaire
capillaire;CAPILLAIRE
const;const.
const;const
const;CONST
const;Const
import;IMPORT
import;Import
import;import.
import;import
psg;PSG
psg;Psg
psg;psg
psg;PSG.
encep;ENCEP.
encep;ENCEP
encep;encep
encep;Encep
microsc;Microsc
microsc;.MICROSC
microsc;microsc
microsc;MICROSC
prand;PRAND
prand;Prand
prand;prand
prand;.PRAND
non;.non
non;.NON
non;NON
non;Non
non;non
hcg;HCG
hcg;Hcg
hcg;hcg
phtaliq;.PHTALIQ
phtaliq;PHTALIQ
phtaliq;Phtaliq
phtaliq;phtaliq
conclusion;conclusion
conclusion;CONCLUSION
conclusion;Conclusion
trimelliq;Trimelliq
trimelliq;trimelliq
trimelliq;TRIMELLIQ
trimelliq;.TRIMELLIQ
noy;Noy
noy;NOY
noy;noy
hcv;HCV
hcv;Hcv
hcv;hcv
avt;.AVT
avt;avt
avt;Avt
avt;AVT
risq;risq
risq;RISQ
risq;Risq
risq;risq.
lactique;lactique
lactique;Lactique
lactique;LACTIQUE
lactique;.LACTIQUE
calcium;calcium
calcium;Calcium
calcium;CALCIUM
calcium;Calcium/
mycobact;mycobact
mycobact;MYCOBACT.
mycobact;MYCOBACT
mycobact;.MYCOBACT
mycobact;Mycobact
ence;ence
ence;Ence
ence;ENCE
ence;Ence.
trychophy;trychophy
trychophy;TRYCHOPHY.
trychophy;Trychophy
trychophy;TRYCHOPHY
superfic;superfic
superfic;superfic.
superfic;Superfic
superfic;SUPERFIC
thromboplast;Thromboplast.
thromboplast;Thromboplast
thromboplast;thromboplast
thromboplast;THROMBOPLAST
hdl;HDL
hdl;Hdl
hdl;hdl
tularens;TULARENS.
tularens;TULARENS
tularens;tularens
tularens;Tularens
souche;Souche
souche;.SOUCHE
souche;SOUCHE
souche;souche
souche;.souche
anguillules;Anguillules
anguillules;anguillules
anguillules;ANGUILLULES
anguillules;.ANGUILLULES
gref;.gref
gref;gref.
gref;GREF.
gref;gref
gref;GREF
gref;Gref
pul;PUL
pul;Pul
pul;pul
pul;.PUL
americ;americ
americ;AMERIC.
americ;Americ
americ;AMERIC
rens;RENS.
rens;rens
rens;RENS
rens;Rens
pus;.pus
pus;.PUS
pus;PUS
pus;Pus
pus;pus
multi;.MULTI
multi;Multi
multi;MULTI
multi;multi
bord;BORD
bord;Bord
bord;bord
bord;BORD.
hem;HEM
hem;Hem
hem;hem
hem;HEM/
sequenc;sequenc
sequenc;SEQUENC
sequenc;Sequenc
sequenc;sequenc.
hep;HEP
hep;Hep
hep;hep
hep;Hep.
hep;HEP.
trac;.trac
trac;trac
trac;TRAC
trac;Trac
trac;TRAC.
plaq;.Plaq
plaq;.plaq
plaq;.PLAQ
plaq;plaq
plaq;PLAQ
plaq;Plaq
plaq;Plaq/
rpcr;Rpcr.
rpcr;rpcr
rpcr;RPCR
rpcr;Rpcr
enft;Enft
enft;ENFT
enft;enft
enft;.ENFT
fas;Fas
fas;FAS
fas;fas
plas;.plas
plas;Plas.
plas;PLAS.
plas;plas
plas;PLAS
plas;Plas
pneu;Pneu
pneu;pneu
pneu;PNEU/
pneu;PNEU
pneu;PNEU.
pneu;pneu.
sonde;.SONDE
sonde;SONDE
sonde;Sonde
sonde;sonde
sialotrf;Sialotrf.
sialotrf;Sialotrf
sialotrf;sialotrf
sialotrf;SIALOTRF
tran;TRAN.
tran;TRAN
tran;Tran
tran;tran
peritoneal;Peritoneal
peritoneal;PERITONEAL
peritoneal;.PERITONEAL
peritoneal;peritoneal
carb;carb
carb;carb/
carb;CARB
carb;Carb
carb;.carb
monocytes;monocytes
monocytes;Monocytes
monocytes;MONOCYTES
minerales;minerales
minerales;Minerales
minerales;MINERALES
minerales;.MINERALES
gene;GENE.
gene;GENE
gene;Gene
gene;gene
gene;.Gene
geni;GENI
geni;Geni
geni;geni
geni;GENI/
magnesium;MAGNESIUM
magnesium;magnesium
magnesium;Magnesium
magnesium;Magnesium/
plac;.PLAC
plac;PLAC.
plac;plac
plac;PLAC/
plac;PLAC
plac;Plac
ecou;Ecou.
ecou;ECOU
ecou;Ecou
ecou;ecou
pvt;pvt.
pvt;PVT.
pvt;.PVT
pvt;pvt
pvt;PVT
pvt;Pvt
geno;.GENO
geno;GENO
geno;Geno
geno;geno
pertus;PERTUS
pertus;pertus
pertus;Pertus
prlv;prlv
prlv;PRLV
prlv;Prlv
micr;micr
micr;MICR.
micr;MICR
micr;Micr
explor;EXPLOR
explor;explor
explor;Explor
chikung;CHIKUNG
chikung;Chikung
chikung;Chikung/
chikung;chikung
chikung;CHIKUNG.
vitrifi;VITRIFI
vitrifi;Vitrifi
vitrifi;vitrifi
afric;afric
afric;AFRIC
afric;Afric
afric;AFRIC.
cuite;cuite
cuite;.CUITE
cuite;Cuite
cuite;CUITE
flacaerd;flacaerd
flacaerd;Flacaerd
flacaerd;FlacAERd
flacaerd;FlacAERd.
flacaerd;FLACAERD
pant;Pant.
pant;PANT
pant;Pant
pant;pant
diffic;.DIFFIC
diffic;DIFFIC
diffic;diffic
diffic;Diffic
decong;Decong
decong;DECONG.
decong;DECONG
decong;decong
decong;decong.
diag;DIAG.
diag;diag
diag;DIAG
diag;Diag
triiodothyron;TRIIODOTHYRON.
triiodothyron;TRIIODOTHYRON
triiodothyron;Triiodothyron
triiodothyron;triiodothyron
anti;ANTI
anti;Anti
anti;anti
pcre;pcre
pcre;PCRE
pcre;Pcre
pcre;PCRE.
coeliaq;coeliaq
coeliaq;COELIAQ
coeliaq;Coeliaq
coeliaq;.COELIAQ
prot;Prot
prot;PROT
prot;prot
prot;prot.
prot;PROT.
menin;menin.
menin;menin
menin;MENIN
menin;Menin
arbres;Arbres
arbres;.ARBRES
arbres;ARBRES
arbres;arbres
fct;Fct
fct;FCT
fct;fct
fct;FCT.
fct;.FCT
neurolept;NEUROLEPT.
neurolept;neurolept
neurolept;Neurolept
neurolept;Neurolept.
neurolept;NEUROLEPT
centro;CENTRO
centro;Centro
centro;centro
pterony;Pterony
pterony;PTERONY
pterony;pterony
pterony;pterony.
kappa;KAPPA/
kappa;Kappa/
kappa;KAPPA
kappa;Kappa
kappa;kappa
rcli;RCLI
rcli;Rcli
rcli;rcli
prov;PROV.
prov;prov.
prov;PROV
prov;prov
prov;Prov
dial;DIAL
dial;Dial
dial;.dial
dial;dial
grip;Grip.
grip;GRIP.
grip;grip
grip;GRIP
grip;Grip
prod;Prod
prod;PROD
prod;prod
prod;PROD.
expector;expector
expector;Expector
expector;Expector.
expector;EXPECTOR
pelot;pelot.
pelot;pelot
pelot;Pelot
pelot;PELOT
lpl;LPL
lpl;Lpl
lpl;lpl
sulf;sulf
sulf;SULF.
sulf;SULF
sulf;Sulf
testicul;TESTICUL
testicul;Testicul
testicul;testicul
prof;PROF.
prof;PROF
prof;prof
prof;Prof
rhinovirus;Rhinovirus/
rhinovirus;RHINOVIRUS
rhinovirus;rhinovirus
rhinovirus;Rhinovirus
bore;BORE/
bore;bore
bore;BORE
bore;Bore
recherche;RECHERCHE
recherche;Recherche
recherche;recherche
epiderm;EPIDERM.
epiderm;epiderm
epiderm;Epiderm
epiderm;EPIDERM
chat;.CHAT
chat;chat
chat;CHAT
chat;Chat
grif;GRIF.
grif;grif
grif;GRIF
grif;Grif
hypertriglycerid;HYPERTRIGLYCERID
hypertriglycerid;HYPERTRIGLYCERID.
hypertriglycerid;Hypertriglycerid
hypertriglycerid;hypertriglycerid
hypertriglycerid;Hypertriglycerid.
supplem;supplem
supplem;supplem.
supplem;Supplem
supplem;SUPPLEM
metapneu;metapneu
metapneu;METAPNEU
metapneu;Metapneu/
metapneu;Metapneu
pyl;PYL
pyl;Pyl
pyl;pyl
pyl;.pyl
pyl;pyl.
feb;FEB
feb;Feb
feb;feb
feb;.feb
rhino;Rhino
rhino;RHINO
rhino;Rhino/
rhino;rhino
num;Num
num;NUM
num;num
pyo;PYO
pyo;Pyo
pyo;pyo
pyo;.PYO
flacanad;Flacanad
flacanad;FlacANAd
flacanad;flacanad
flacanad;FLACANAD
flacanad;FlacANAd.
temoin;Temoin
temoin;.temoin
temoin;temoin
temoin;TEMOIN
fixees;fixees
fixees;fixees/
fixees;Fixees
fixees;FIXEES
fixees;FIXEES/
zone;zone
zone;Zone
zone;ZONE
jiroveci;Jiroveci
jiroveci;jiroveci
jiroveci;.jiroveci
jiroveci;JIROVECI
pleu;.PLEU
pleu;pleu
pleu;PLEU/
pleu;PLEU
pleu;Pleu
cladosp;Cladosp
cladosp;Cladosp.
cladosp;CLADOSP
cladosp;CLADOSP.
cladosp;cladosp
group;GROUP
group;Group
group;.Group
group;Group.
group;group
oreille;oreille
oreille;OREILLE
oreille;Oreille
oreille;.OREILLE
anus;Anus
anus;ANUS
anus;anus
anus;ANUS/
resist;resist.
resist;RESIST.
resist;resist
resist;Resist
resist;RESIST
ejac;Ejac
ejac;EJAC
ejac;ejac
ethyl;ethyl
ethyl;Ethyl
ethyl;ethyl.
ethyl;ETHYL
hydatidose;HYDATIDOSE
hydatidose;Hydatidose.
hydatidose;hydatidose
hydatidose;Hydatidose
lactofer;LACTOFER.
lactofer;Lactofer
lactofer;lactofer
lactofer;LACTOFER
anhyd;ANHYD.
anhyd;Anhyd
anhyd;Anhyd.
anhyd;anhyd
anhyd;anhyd.
anhyd;ANHYD
elisa;ELISA/
elisa;elisa
elisa;.ELISA
elisa;ELISA
elisa;Elisa
mucopolysacc;MUCOPOLYSACC.
mucopolysacc;MUCOPOLYSACC
mucopolysacc;mucopolysacc
mucopolysacc;Mucopolysacc
plaquettes;PLAQUETTES
plaquettes;Plaquettes/
plaquettes;plaquettes
plaquettes;Plaquettes
campy;Campy
campy;CAMPY
campy;campy
campy;CAMPY.
barbitur;Barbitur.
barbitur;BARBITUR
barbitur;barbitur
barbitur;BARBITUR.
barbitur;Barbitur
resis;RESIS.
resis;Resis
resis;resis
resis;RESIS
lsd;LSD
lsd;Lsd
lsd;lsd
ralt;RALT
ralt;Ralt
ralt;ralt
ralt;rAlt
ralt;.rAlt
ralt;.RALT
progesterone;PROGESTERONE
progesterone;progesterone
progesterone;.Progesterone
progesterone;Progesterone
progesterone;.PROGESTERONE
part;PART
part;Part
part;part
part;PART.
sulfatox;SULFATOX
sulfatox;Sulfatox
sulfatox;SULFATOX.
sulfatox;sulfatox
mech;MECH
mech;Mech
mech;MECH.
mech;mech
microscope;Microscope
microscope;MICROSCOPE
microscope;microscope
lympho;lympho
lympho;Lympho
lympho;.LYMPHO
lympho;LYMPHO
fermier;fermier
fermier;FERMIER
fermier;Fermier
fermier;.FERMIER
supp;supp
supp;SUPP
supp;Supp
supp;supp.
guadinoac;guadinoac
guadinoac;GUADINOAC/
guadinoac;Guadinoac
guadinoac;GUADINOAC
hemorragiqu;hemorragiqu.
hemorragiqu;HEMORRAGIQU.
hemorragiqu;hemorragiqu
hemorragiqu;HEMORRAGIQU
hemorragiqu;Hemorragiqu
blastomycos;BLASTOMYCOS
blastomycos;blastomycos
blastomycos;Blastomycos
blastomycos;.Blastomycos
patient;patient
patient;Patient
patient;PATIENT
toscana;Toscana
toscana;Toscana/
toscana;TOSCANA
toscana;toscana
toscana;TOSCANA/
lyme;Lyme
lyme;LYME
lyme;lyme
lyme;.LYME
ouvrir;ouvrir
ouvrir;.Ouvrir
ouvrir;Ouvrir
ouvrir;OUVRIR
hla;HLA/
hla;.HLA
hla;HLA
hla;Hla
hla;hla
indetermine;Indetermine
indetermine;INDETERMINE
indetermine;indetermine
indetermine;.indetermine
interpretati;Interpretati
interpretati;Interpretati.
interpretati;INTERPRETATI
interpretati;interpretati
betabloq;betabloq
betabloq;Betabloq
betabloq;BETABLOQ
betabloq;Betabloq.
resp;resp
resp;RESP
resp;Resp
resp;resp.
resp;RESP.
globul;Globul
globul;GLOBUL
globul;globul
globul;.GLOBUL
whipplei;Whipplei
whipplei;whipplei
whipplei;.whipplei
whipplei;WHIPPLEI
trychoph;Trychoph
trychoph;TRYCHOPH
trychoph;trychoph
trychoph;Trychoph.
streptoc;STREPTOC
streptoc;Streptoc.
streptoc;streptoc
streptoc;Streptoc
ltr;LTR
ltr;Ltr
ltr;ltr
cryo;Cryo
cryo;CRYO
cryo;cryo
citrique;citrique
citrique;.CITRIQUE
citrique;Citrique
citrique;CITRIQUE
allongemt;allongemt
allongemt;.ALLONGEMT
allongemt;ALLONGEMT
allongemt;Allongemt
toxines;Toxines
toxines;TOXINES
toxines;toxines
toxines;TOXINES.
toxines;.toxines
pcrveroe;PCRVEROE
pcrveroe;Pcrveroe
pcrveroe;pcrveroe
pcrveroe;.PCRVEROE
gpii;GPII
gpii;Gpii
gpii;gpii
chikun;CHIKUN.
chikun;chikun
chikun;CHIKUN
chikun;Chikun
hypoglyce;HYPOGLYCE
hypoglyce;HYPOGLYCE.
hypoglyce;Hypoglyce
hypoglyce;hypoglyce
herba;Herba
herba;HERBA
herba;HERBA.
herba;herba
herba;.herba
testicu;.TESTICU
testicu;Testicu
testicu;TESTICU
testicu;testicu
vgkc;VGKC
vgkc;Vgkc
vgkc;vgkc
fib;.FIB
fib;FIB
fib;Fib
fib;fib
fib;FIB.
microsporidie;Microsporidie
microsporidie;microsporidie
microsporidie;MICROSPORIDIE
microsporidie;.MICROSPORIDIE
cytometrie;Cytometrie
cytometrie;cytometrie
cytometrie;CYTOMETRIE/
cytometrie;CYTOMETRIE
osseuse;OSSEUSE
osseuse;osseuse
osseuse;.OSSEUSE
osseuse;Osseuse
abdom;ABDOM.
abdom;ABDOM
abdom;Abdom
abdom;abdom
bac;bac.
bac;BAC
bac;BAC.
bac;Bac
bac;bac
ident;Ident
ident;IDENT
ident;ident
ident;Ident.
ident;IDENT.
xmlct;Xmlct
xmlct;XMLCT
xmlct;xmlct
glutarique;GLUTARIQUE
glutarique;.Glutarique
glutarique;glutarique
glutarique;Glutarique
susp;SUSP.
susp;SUSP
susp;Susp
susp;susp
del;del/
del;DEL
del;Del
del;del
del;DEL/
anaer;.ANAER
anaer;Anaer
anaer;ANAER
anaer;anaer
anaer;anaer.
dem;Dem.
dem;DEM
dem;Dem
dem;dem
pertussis;Pertussis
pertussis;PERTUSSIS/
pertussis;PERTUSSIS
pertussis;.PERTUSSIS
pertussis;pertussis/
pertussis;pertussis
dep;.Dep
dep;DEP
dep;Dep
dep;dep
dep;Dep.
phan;PHAN.
phan;PHAN
phan;Phan
phan;phan
fiv;.FIV
fiv;FIV
fiv;Fiv
fiv;fiv
des;.DES
des;DES.
des;DES
des;Des
des;des
bind;BIND
bind;Bind
bind;bind
bind;BIND.
bas;BAS
bas;bas/
bas;Bas
bas;bas
tril;TRIL
tril;Tril
tril;tril
tril;TRIL.
bau;BAU
bau;Bau
bau;bau
bau;.BAU
farinae;Farinae
farinae;FARINAE
farinae;farinae
farinae;.FARINAE
farinae;.farinae
oxalate;OXALATE
oxalate;Oxalate
oxalate;oxalate
oxalate;Oxalate/
scl;SCL
scl;Scl
scl;scl
listeria;LISTERIA
listeria;.Listeria
listeria;Listeria
listeria;listeria
mater;mater
mater;MATER.
mater;MATER
mater;Mater
vgms;vgms
vgms;.VGMs
vgms;VGMS
vgms;Vgms
vgms;VGMs
aden;aden
aden;ADEN
aden;Aden
ac;.AC
ac;.Ac
ac;.ac
ac;AC
ac;Ac
ac;ac
ac;AC.
ac;Ac.
ac;ac.
scr;SCR
scr;Scr
scr;scr
scr;SCR.
vein;vein
vein;VEIN.
vein;VEIN
vein;Vein
vein;.vein
globu;GLOBU
globu;globu
globu;.GLOBU
globu;Globu
trimel;trimel
trimel;TRIMEL
trimel;Trimel
trimel;.trimel
pass;PASS
pass;Pass
pass;pass
pass;Pass.
ag;AG
ag;Ag
ag;ag
ag;Ag.
organophosph;ORGANOPHOSPH.
organophosph;Organophosph
organophosph;organophosph
organophosph;ORGANOPHOSPH
globo;globo
globo;GLOBO
globo;GLOBO.
globo;Globo
diff;DIFF
diff;Diff
diff;diff
diff;diff.
hnp;HNP
hnp;Hnp
hnp;hnp
nutrit;Nutrit
nutrit;NUTRIT.
nutrit;nutrit
nutrit;NUTRIT
ap;AP
ap;Ap
ap;ap
mikr;mikr
mikr;Mikr.
mikr;MIKR
mikr;Mikr
aq;AQ
aq;Aq
aq;aq
aq;aq.
genotyp;genotyp
genotyp;Genotyp.
genotyp;GENOTYP
genotyp;Genotyp
genotyp;GENOTYP.
dose;Dose/
dose;dose
dose;DOSE
dose;Dose
as;as
as;AS
as;As
at;AT
at;At
at;at
coccidioidomyc;COCCIDIOIDOMYC.
coccidioidomyc;coccidioidomyc
coccidioidomyc;COCCIDIOIDOMYC
coccidioidomyc;Coccidioidomyc
moyen;.moyen
moyen;Moyen
moyen;MOYEN
moyen;moyen
av;av
av;AV
av;Av
interpretation;interpretation
interpretation;INTERPRETATION
interpretation;Interpretation
alve;ALVE
alve;Alve
alve;alve
alve;.ALVE
abau;.ABAU
abau;abau
abau;Abau
abau;ABAU
nocardia;NOCARDIA/
nocardia;Nocardia
nocardia;nocardia
nocardia;NOCARDIA
brucella;.Brucella
brucella;BRUCELLA
brucella;Brucella
brucella;brucella
compression;Compression
compression;COMPRESSION
compression;compression
trans;TRANS
trans;Trans
trans;TRANS.
trans;trans
tracho;.tracho
tracho;tracho
tracho;TRACHO/
tracho;tracho/
tracho;TRACHO.
tracho;Tracho
tracho;TRACHO
mega;mega
mega;Mega
mega;MEGA
abdo;ABDO.
abdo;abdo
abdo;ABDO
abdo;Abdo
nucl;nucl
nucl;NUCL
nucl;Nucl
nucl;nucl.
nucl;Nucl.
biop;biop.
biop;BIOP.
biop;Biop/
biop;Biop.
biop;biop
biop;BIOP
biop;Biop
hbpm;Hbpm
hbpm;HBPM
hbpm;hbpm
decongel;decongel
decongel;Decongel
decongel;DECONGEL.
decongel;DECONGEL
hop;HOP
hop;Hop
hop;hop
hop;.HOP
bk;BK/
bk;BK
bk;Bk
bk;bk
hor;HOR.
hor;HOR
hor;Hor
hor;hor
bl;.BL
bl;.bl
bl;BL
bl;Bl
bl;bl
bm;BM
bm;Bm
bm;bm
destruc;destruc.
destruc;DESTRUC
destruc;Destruc
destruc;destruc
sec;SEC
sec;Sec
sec;sec
sec;Sec.
sec;SEC.
embryon;embryon
embryon;.EMBRYON
embryon;.embryon
embryon;embryon.
embryon;Embryon
embryon;EMBRYON
br;BR
br;Br
br;br
br;BR.
br;Br.
bs;BS
bs;Bs
bs;bs
lymph;LYMPH
lymph;lymph
lymph;Lymph
laine;laine
laine;LAINE.
laine;LAINE
laine;Laine
hpa;HPA.
hpa;HPA
hpa;Hpa
hpa;hpa
papil;Papil/
papil;PAPIL
papil;Papil
papil;papil
chromo;CHROMO
chromo;Chromo
chromo;chromo
seq;Seq.
seq;SEQ.
seq;seq.
seq;SEQ
seq;Seq
seq;seq
ca;CA/
ca;.CA
ca;CA
ca;Ca
ca;ca
cb;CB/
cb;CB
cb;Cb
cb;cb
ser;SER
ser;Ser
ser;ser
ser;.SER
ser;.ser
ser;SER.
ser;SER/
ser;Ser.
ser;ser.
enot;enot
enot;ENOT
enot;Enot
cf;Cf
cf;CF
cf;cf
vorax;Vorax
vorax;VORAX
vorax;vorax
vorax;VORAX.
ch;CH
ch;Ch
ch;ch
ch;CH.
immudep;.IMMUDEP
immudep;IMMUDEP
immudep;immudep
immudep;Immudep
eosinophiles;Eosinophiles
eosinophiles;EOSINOPHILES
eosinophiles;eosinophiles
eosinophiles;.Eosinophiles
hpn;HPN
hpn;Hpn
hpn;hpn
ck;CK
ck;Ck
ck;ck
cl;CL.
cl;CL
cl;Cl
cl;cl
cp;CP
cp;Cp
cp;cp
hpv;HPV
hpv;Hpv
hpv;hpv
cr;CR
cr;Cr
cr;cr
cs;Cs
cs;CS
cs;cs
ct;CT
ct;Ct
ct;ct
fong;fong
fong;FONG.
fong;FONG
fong;Fong
cu;CU
cu;Cu
cu;cu
cu;CU.
bksg;BKSG
bksg;Bksg
bksg;bksg
cv;CV
cv;Cv
cv;cv
organophos;Organophos
organophos;organophos
organophos;ORGANOPHOS.
organophos;ORGANOPHOS
aqueuse;aqueuse
aqueuse;.AQUEUSE
aqueuse;AQUEUSE
aqueuse;Aqueuse
aqueuse;.aqueuse
maladie;Maladie
maladie;MALADIE/
maladie;maladie
maladie;MALADIE
lactate;LACTATE/
lactate;Lactate.
lactate;Lactate
lactate;LACTATE
lactate;lactate
serum;Serum
serum;SERUM
serum;.SERUM
serum;serum
dia;.DIA
dia;DIA
dia;Dia
dia;dia
chrono;Chrono
chrono;CHRONO
chrono;chrono
did;.DID
did;DID
did;Did
did;did
dc;DC
dc;Dc
dc;dc
dif;DIF
dif;Dif
dif;dif
dif;.DIF
dd;DD
dd;Dd
dd;dd
jul;JUL
jul;Jul
jul;jul
jul;jul.
de;DE
de;De
de;de
de;.DE
de;.de
spermocyt;spermocyt
spermocyt;Spermocyt
spermocyt;.SPERMOCYT
spermocyt;SPERMOCYT
dig;.DIG
dig;DIG
dig;Dig
dig;dig
dig;DIG.
atbtype;atbtype
atbtype;.atbtype
atbtype;Atbtype
atbtype;ATBTYPE
dil;DIL
dil;Dil
dil;dil
dil;Dil.
pulmo;PULMO.
pulmo;.PULMO
pulmo;PULMO
pulmo;Pulmo
pulmo;pulmo
dim;Dim.
dim;DIM
dim;Dim
dim;dim
dn;DN
dn;Dn
dn;dn
gast;Gast
gast;GAST
gast;gast
do;DO.
do;DO
do;Do
do;do
dp;DP
dp;Dp
dp;dp
dq;DQ
dq;Dq
dq;dq
dr;.DR
dr;DR
dr;Dr
dr;dr
whippelii;WHIPPELII
whippelii;.WHIPPELII
whippelii;Whippelii
whippelii;whippelii
ds;DS
ds;Ds
ds;ds
div;DIV
div;Div
div;div
div;.DIV
div;DIV.
div;DIV/
bird;Bird
bird;BIRD
bird;bird
phenyla;PHENYLA.
phenyla;Phenyla
phenyla;phenyla
phenyla;PHENYLA
aromatiq;Aromatiq
aromatiq;AROMATIQ.
aromatiq;aromatiq
aromatiq;AROMATIQ
flacpedd;FLACPEDD
flacpedd;FlacPEDd.
flacpedd;flacpedd
flacpedd;FlacPEDd
flacpedd;Flacpedd
biops;Biops
biops;BIOPS.
biops;biops
biops;.BIOPS
biops;BIOPS
psittac;Psittac
psittac;PSITTAC
psittac;psittac
brucellose;Brucellose
brucellose;.brucellose
brucellose;BRUCELLOSE
brucellose;brucellose
ec;EC.
ec;Ec.
ec;.EC
ec;EC
ec;Ec
ec;ec
numhemat;Numhemat
numhemat;NUMHEMAT
numhemat;.NUMHEMAT
numhemat;numhemat
pneum;pneum
pneum;PNEUM
pneum;Pneum
pneum;.PNEUM
pneum;.pneum
plasm;plasm.
plasm;plasm
plasm;PLASM
plasm;Plasm
plasm;PLASM.
chloralo;chloralo
chloralo;CHLORALO
chloralo;Chloralo
chloralo;CHLORALO.
test;test
test;TEST
test;Test
test;.test
vitre;vitre
vitre;Vitre
vitre;VITRE
vitre;.VITRE
eryt;eryt
eryt;ERYT
eryt;Eryt
basophiles;Basophiles
basophiles;basophiles
basophiles;BASOPHILES
ep;.EP
ep;EP
ep;Ep
ep;ep
pertuss;PERTUSS
pertuss;Pertuss
pertuss;pertuss/
pertuss;pertuss
et;et/
et;ET.
et;ET
et;Et
et;et
ex;.EX
ex;EX
ex;Ex
ex;ex
ex;EX.
cytop;cytop
cytop;CYTOP
cytop;Cytop
cytop;CYTOP.
fongiq;fongiq.
fongiq;fongiq
fongiq;Fongiq
fongiq;FONGIQ
respir;respir
respir;RESPIR
respir;.respir
respir;Respir
psittaci;Psittaci
psittaci;psittaci
psittaci;PSITTACI
psittaci;PSITTACI/
serol;serol.
serol;SEROL.
serol;serol
serol;Serol
serol;SEROL
hgprt;Hgprt
hgprt;hgprt
hgprt;HGPRT
legionelles;Legionelles
legionelles;.LEGIONELLES
legionelles;legionelles
legionelles;LEGIONELLES
cytob;CYTOB
cytob;Cytob
cytob;Cytob.
cytob;cytob
cytob;CYTOB.
activ;activ
activ;ACTIV
activ;Activ
cytog;CYTOG.
cytog;Cytog.
cytog;cytog
cytog;Cytog
cytog;CYTOG
fc;.Fc
fc;FC
fc;Fc
fc;fc
debr;Debr
debr;DEBR.
debr;DEBR
debr;debr
trph;trph
trph;TRPH
trph;Trph
icsi;icsi
icsi;ICSI
icsi;Icsi
icsi;ICSI/
serot;serot
serot;Serot
serot;.SEROT
serot;SEROT
serot;Serot.
operat;operat
operat;OPERAT
operat;Operat
operat;OPERAT.
fl;FL
fl;Fl
fl;fl
fl;FL.
fl;Fl.
secre;secre.
secre;Secre
secre;SECRE
secre;secre
secre;Secre.
hsv;HSV/
hsv;hsv
hsv;HSV
hsv;Hsv
fr;FR
fr;Fr
fr;fr
fs;FS
fs;Fs
fs;fs
trichlora;trichlora
trichlora;Trichlora
trichlora;TRICHLORA
fv;FV
fv;Fv
fv;fv
fw;FW
fw;Fw
fw;fw
carbapenem;Carbapenem
carbapenem;CARBAPENEM.
carbapenem;carbapenem
carbapenem;CARBAPENEM
hereditair;HEREDITAIR
hereditair;hereditair
hereditair;.HEREDITAIR
hereditair;Hereditair
mucovis;Mucovis
mucovis;.MUCOVIS
mucovis;mucovis
mucovis;MUCOVIS
gb;GB
gb;Gb
gb;gb
ollag;OLLAG
ollag;ollag
ollag;Ollag
gc;GC/
gc;GC
gc;Gc
gc;gc
gd;GD
gd;Gd
gd;gd
bact;Bact.
bact;bact.
bact;bact/
bact;BACT
bact;bact
bact;BACT.
bact;Bact
ge;Ge
ge;GE
ge;ge
partic;PARTIC
partic;partic
partic;PARTIC.
partic;Partic
granuloc;GRANULOC.
granuloc;GRANULOC
granuloc;Granuloc
granuloc;granuloc
granuloc;Granuloc.
gp;GP
gp;Gp
gp;gp
trop;TROP
trop;Trop
trop;TROP.
trop;trop
eosino;Eosino
eosino;.EOSINO
eosino;eosino
eosino;EOSINO
mucop;Mucop/
mucop;MUCOP
mucop;mucop
mucop;Mucop
gr;GR.
gr;Gr.
gr;GR
gr;Gr
gr;gr
bhr;.BHR
bhr;BHR
bhr;Bhr
bhr;bhr
genot;GENOT
genot;Genot
genot;genot
pteronyss;Pteronyss
pteronyss;PTERONYSS
pteronyss;PTERONYSS.
pteronyss;pteronyss
ente;Ente/
ente;ente
ente;ENTE
ente;Ente
bartonella;Bartonella
bartonella;bartonella
bartonella;BARTONELLA
bartonella;.Bartonella
interpret;Interpret
interpret;interpret
interpret;Interpret.
interpret;INTERPRET
bovine;Bovine
bovine;BOVINE
bovine;bovine
bovine;.BOVINE
vagi;VAGI
vagi;Vagi
vagi;vagi
hb;HB.
hb;HB
hb;Hb
hb;hb
hc;HC.
hc;HC
hc;Hc
hc;hc
zika;zika
zika;ZIKA/
zika;Zika/
zika;ZIKA
zika;Zika
psitta;Psitta
psitta;PSITTA
psitta;psitta
